IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160000108,ASSAULT,BATTERY,Thursday,12/31/2015,23:58,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16000010804134
166004914,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,12/31/2015,23:55,SOUTHERN,NONE,1100 Block of MISSION ST,-122.411626152299,37.7785895740312,"(37.7785895740312, -122.411626152299)",16600491428150
160000095,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,12/31/2015,23:54,INGLESIDE,"ARREST, BOOKED",0 Block of LELAND AV,-122.404262861765,37.7113387848327,"(37.7113387848327, -122.404262861765)",16000009515040
160038137,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,12/31/2015,23:51,INGLESIDE,NONE,200 Block of BLYTHDALE AV,-122.420556751442,37.7108945814914,"(37.7108945814914, -122.420556751442)",16003813715161
166008223,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,23:50,BAYVIEW,NONE,WISCONSIN ST / 17TH ST,-122.399764789663,37.7662516625687,"(37.7662516625687, -122.399764789663)",16600822306244
160001485,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/31/2015,23:50,PARK,NONE,800 Block of BRODERICK ST,-122.440190247409,37.7780493064201,"(37.7780493064201, -122.440190247409)",16000148507021
166002930,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,23:50,CENTRAL,NONE,800 Block of POST ST,-122.41584375719,37.7874017655636,"(37.7874017655636, -122.41584375719)",16600293071000
166002980,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,12/31/2015,23:50,CENTRAL,NONE,0 Block of MAIDEN LN,-122.40435958711,37.7882726542513,"(37.7882726542513, -122.40435958711)",16600298006374
160002819,NON-CRIMINAL,FOUND PROPERTY,Thursday,12/31/2015,23:50,CENTRAL,NONE,0 Block of DRUMM ST,-122.396421943768,37.7941447423704,"(37.7941447423704, -122.396421943768)",16000281972000
160000073,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/31/2015,23:45,CENTRAL,NONE,FRANCISCO ST / JONES ST,-122.416701183024,37.8042748858666,"(37.8042748858666, -122.416701183024)",16000007306243
160000299,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,23:41,SOUTHERN,NONE,BRYANT ST / 3RD ST,-122.395848299154,37.7813210474369,"(37.7813210474369, -122.395848299154)",16000029906244
160002386,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,12/31/2015,23:40,SOUTHERN,NONE,0 Block of THE EMBARCADERONORTH ST,-122.38791460114,37.7833631726076,"(37.7833631726076, -122.38791460114)",16000238606304
160000249,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,12/31/2015,23:30,NORTHERN,NONE,0 Block of GROVE ST,-122.41742986085,37.7785349354394,"(37.7785349354394, -122.41742986085)",16000024904014
151127305,ASSAULT,BATTERY,Thursday,12/31/2015,23:30,MISSION,NONE,4100 Block of 18TH ST,-122.435563016294,37.760801062884,"(37.760801062884, -122.435563016294)",15112730504134
160000227,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,12/31/2015,23:30,CENTRAL,NONE,1300 Block of BATTERY ST,-122.402005149655,37.803687099963,"(37.803687099963, -122.402005149655)",16000022728100
160000051,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,12/31/2015,23:29,MISSION,NONE,2300 Block of MARKET ST,-122.434229003953,37.7634850137846,"(37.7634850137846, -122.434229003953)",16000005106111
160000932,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,12/31/2015,23:25,INGLESIDE,NONE,600 Block of PORTOLA DR,-122.452761504469,37.7448131362383,"(37.7448131362383, -122.452761504469)",16000093228100
151127311,OTHER OFFENSES,RESISTING ARREST,Thursday,12/31/2015,23:20,INGLESIDE,"ARREST, BOOKED",0 Block of ONONDAGA AV,-122.438020843578,37.7214442237375,"(37.7214442237375, -122.438020843578)",15112731127170
151127292,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,12/31/2015,23:20,MISSION,NONE,100 Block of PORTOLA DR,-122.444033874202,37.7483728693764,"(37.7483728693764, -122.444033874202)",15112729204014
151127292,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,12/31/2015,23:20,MISSION,NONE,100 Block of PORTOLA DR,-122.444033874202,37.7483728693764,"(37.7483728693764, -122.444033874202)",15112729203014
151127311,WARRANTS,WARRANT ARREST,Thursday,12/31/2015,23:20,INGLESIDE,"ARREST, BOOKED",0 Block of ONONDAGA AV,-122.438020843578,37.7214442237375,"(37.7214442237375, -122.438020843578)",15112731163010
160001429,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Thursday,12/31/2015,23:20,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.411742515582,37.7858882195106,"(37.7858882195106, -122.411742515582)",16000142905033
151127292,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,12/31/2015,23:20,MISSION,NONE,100 Block of PORTOLA DR,-122.444033874202,37.7483728693764,"(37.7483728693764, -122.444033874202)",15112729228160
166002134,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,23:19,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16600213471000
160004031,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,12/31/2015,23:15,SOUTHERN,NONE,500 Block of HOWARD ST,-122.397032436528,37.7878246694374,"(37.7878246694374, -122.397032436528)",16000403106114
151127220,VANDALISM,"VANDALISM OR GRAFFITI TOOLS, POSSESSION",Thursday,12/31/2015,23:10,CENTRAL,"ARREST, BOOKED",MASON ST / JEFFERSON ST,-122.414166515093,37.808419917271,"(37.808419917271, -122.414166515093)",15112722028166
160000023,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,12/31/2015,23:10,TENDERLOIN,UNFOUNDED,100 Block of ELLIS ST,-122.408269031453,37.7853831105797,"(37.7853831105797, -122.408269031453)",16000002364085
151127220,VANDALISM,VANDALISM WITH NOXIOUS CHEMICAL,Thursday,12/31/2015,23:10,CENTRAL,"ARREST, BOOKED",MASON ST / JEFFERSON ST,-122.414166515093,37.808419917271,"(37.808419917271, -122.414166515093)",15112722028167
